designation,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,bp_rp,bp_g,g_rp,l,b,distance
Gaia DR2 3451221864056437120,87.9716122182646,0.969287124105853,32.718821680861,0.852273000994812,1.03673822122491,1.13178606725482,0.9160196,1.229843,0.3297806,0.9000626,177.448346775206,3.10035892612096,11.271852897183
Gaia DR2 3450988698872303616,88.2325396919087,0.200017044416077,32.4189848271475,0.188113077276238,-0.0884776381691,0.219719371582157,-0.4026847,1.431578,0.5979633,0.8336143,177.818828297361,3.13785028303054,11.2722287097656
Gaia DR2 3451221898416219136,87.9962347858155,0.478820109487362,32.7283065555874,0.441822103503353,0.158008671469309,0.564974779942106,0.2796738,1.968565,0.8303356,1.138229,177.450700149515,3.12302032298007,11.2725489447106
Gaia DR2 3451177990968758144,87.968634395611,0.825754658305947,32.3885854379987,0.743382493763786,-2.57852949688005,0.810953379872736,-3.179627,1.405624,0.3903141,1.01531,177.73189614924,2.93040431265713,11.2731497640966
Gaia DR2 3451200427875484800,88.2911890418105,1.24069820618414,32.5027889393606,1.13586110302924,-0.200961507659046,1.03275916998152,-0.194587,2.164267,1.212791,0.9514751,177.771502296412,3.2229333165785,11.2735085220543
Gaia DR2 3451179056118603776,87.9218559993663,2.23753320642869,32.4176904870353,1.56191645533481,NaN,NaN,NaN,1.010832,-0.04680824,1.05764,177.686695385208,2.91119105299193,11.274425165825
Gaia DR2 3451197880964233984,87.9017076688505,0.164225270434121,32.6698446362494,0.152737821459276,-0.096281396794551,0.17956763868546,-0.5361845,1.163446,0.3991661,0.7642803,177.460642786946,3.02480192204888,11.2759112502602
Gaia DR2 3451219080923788416,88.0237867355,2.05644721415887,32.7356256815789,1.84796138364227,2.00879133457604,1.7946407158131,1.119328,1.367605,0.2337093,1.133896,177.456168663962,3.14670419122337,11.2764029478713
Gaia DR2 3451192215900656128,87.8587834347537,2.38699985058433,32.5123734998463,2.15504081471922,NaN,NaN,NaN,1.354933,0.1927471,1.162186,177.577967672112,2.91355045688272,11.2766512054834
Gaia DR2 3451200423577934464,88.2900195340523,0.435018223957101,32.4990288133598,0.419962382480459,0.342441464129753,0.553501213056111,0.6186824,2.309361,1.077812,1.231548,177.774251882094,3.22018103126059,11.2794022343662
Gaia DR2 3451219218368800000,88.0638900785165,0.593094305347399,32.7406905030153,0.534018373989326,-0.180849146944777,0.629990266929087,-0.2870666,1.501684,0.6175919,0.8840923,177.468939751353,3.17834215378256,11.2798633886595
Gaia DR2 3451203172356335744,88.2958346605141,0.331804198759722,32.5871872895952,0.309586917565654,0.208196846485296,0.396369402121534,0.5252596,1.686897,0.5878887,1.099009,177.700552356601,3.26898397248132,11.2816293225292
Gaia DR2 3451178983101043584,87.9388873248203,0.43126818728724,32.4050354208404,0.386685931708479,-0.107559336506946,0.453768251970338,-0.2370358,1.402349,0.6170387,0.7853107,177.704927099529,2.91713642555534,11.2818051647278
Gaia DR2 3451219252716424704,88.0892701235414,0.57936925349366,32.740734836255,0.53407113939146,0.72765422440325,0.623236999341821,1.16754,2.156574,0.973444,1.18313,177.479744641224,3.19676353450447,11.2833235285264
Gaia DR2 3451198430720488064,87.9527962320499,0.364591206717221,32.709593478991,0.342338246653778,0.487193866856584,0.42519397431287,1.145815,1.280674,0.4478893,0.8327847,177.448252024151,3.08203457355533,11.283699710033
Gaia DR2 3451192211601400448,87.8571621368072,0.600257506547088,32.518398533839,0.531346999021175,1.43409930011394,0.605637583311094,2.367917,1.793001,0.6053543,1.187647,177.572078012445,2.91544036012258,11.284326900199
Gaia DR2 3451197919616439808,87.9046455125537,0.046772659565122,32.6731411495525,0.044003148333261,0.7514547363549,0.052507513268054,14.31138,1.085155,0.4645405,0.6206141,177.459059777177,3.02860769098455,11.2851940903953
Gaia DR2 3451219012198238592,88.0358250733169,0.797673462177964,32.7379471249641,0.710055274122747,0.643997277146365,0.906130673916513,0.7107112,1.380209,0.5221806,0.8580284,177.459312295421,3.15660756184348,11.2855345070868
Gaia DR2 3451174825572656640,88.0490695938304,0.555912207446664,32.3663161725661,0.52392431662627,-0.26847614287658,0.571962924013594,-0.4693943,1.035975,0.1423473,0.8936272,177.785653712495,2.9776090926125,11.2858172646131
Gaia DR2 3451200423577934208,88.2908954236515,0.058716271471959,32.5011390054607,0.056444491753704,1.14879068799869,0.072632941117342,15.81639,1.355298,0.6089554,0.7463427,177.772802597158,3.22188538394949,11.2861779823483
Gaia DR2 3451178231484883840,87.948326017635,0.885718083665992,32.3990359019464,0.76840543524075,0.578695767771356,0.835041429758816,0.6930144,1.649105,0.7202911,0.9288139,177.714156944158,2.9209486201825,11.2862101139108
Gaia DR2 3451178162765407744,87.9553300955332,0.790401950341088,32.3950439025067,0.687825986682028,-0.820745539561187,0.645358155427323,-1.271767,1.377819,0.5016594,0.8761597,177.720609383664,2.92401209962118,11.2867296830543
Gaia DR2 3451196162971592064,87.8648611124396,0.263378626946698,32.6130269448975,0.239464320357859,0.131729305067481,0.287432637329428,0.4582963,1.372906,0.6130161,0.7598896,177.493820623784,2.96918563516041,11.2869868367434
Gaia DR2 3451193070595041408,87.856580641965,0.111980902152126,32.5855561324407,0.101245152652025,0.185415160226915,0.113817736349509,1.629053,1.21801,0.5176659,0.7003441,177.513944567767,2.94920024808386,11.2874815779378
Gaia DR2 3451200874554349184,88.2996307770259,0.753798051177825,32.5538642690185,0.782757413189725,0.709370186438978,0.945943903829659,0.7499073,1.428398,0.4817657,0.9466324,177.73096994931,3.25489768064619,11.2876370465403
Gaia DR2 3451200874554679552,88.2996553401184,1.86045952444553,32.5544792751463,1.80453849482346,NaN,NaN,NaN,NaN,NaN,NaN,177.730448949056,3.25522645879197,11.2890723668039
Gaia DR2 3451219252722927744,88.0942106199901,0.778575748451585,32.7405528642736,0.655367400490114,2.472575587168,0.711244827852836,3.476406,2.438841,1.165731,1.273109,177.482012003359,3.2002531028867,11.2895259873513
Gaia DR2 3451178227186797824,87.9409126219918,0.28870492277972,32.4035473134779,0.265735956574762,0.427480550287503,0.333876107470788,1.280357,1.269716,0.4770584,0.7926579,177.707080689855,2.91785224707413,11.2896505456639
Gaia DR2 3451179257979841792,87.9049434376242,0.146423614999898,32.4326206101432,0.128093628215213,0.488739087757524,0.148808686328757,3.284345,1.123232,0.465683,0.6575489,177.666553762375,2.90649361720654,11.2909221632187
Gaia DR2 3450988183478189056,88.1921100263691,18.3158362953726,32.3920811184612,17.0815846165511,NaN,NaN,NaN,NaN,NaN,NaN,177.824754241222,3.09479319309239,11.29123869402
Gaia DR2 3451207879642936064,88.1902311430826,0.773521031639852,32.7149972170885,0.630355140037856,0.487396606436592,0.816588111757872,0.5968696,1.346359,0.4299908,0.9163685,177.545070089724,3.25694815495984,11.293584694002
Gaia DR2 3451179056120650880,87.9245759853928,0.16088276407424,32.4150572562134,0.143975150046384,0.057528088581821,0.159675534710435,0.3602812,1.080515,0.4136009,0.666914,177.690134829512,2.91182895843951,11.2946622436349
Gaia DR2 3451179051821377280,87.9269107845578,0.701556394789433,32.4132392862152,0.634865620881425,0.177104389589853,0.65910983977462,0.2687024,1.643026,0.6908493,0.952177,177.692705834976,2.91260158770628,11.2953667876485
Gaia DR2 3450988561431230464,88.2015949302859,0.135089037056298,32.3971255209931,0.126729620494722,0.415712347971323,0.149354958563666,2.783385,1.218546,0.5458717,0.6726742,177.824460334069,3.10425371700743,11.2955750565359
Gaia DR2 3451219390155370112,88.0413706837144,0.08096308899177,32.7389370593711,0.076999393965858,0.096423783387843,0.095025462946754,1.014715,0.9351883,0.3998489,0.5353394,177.460828625818,3.1611293901738,11.2966270095407
Gaia DR2 3451174413255796864,88.0956287014378,0.059057017684628,32.3653875805575,0.055786049880587,0.704012043304164,0.063001558270409,11.17452,1.269253,0.5528393,0.7164135,177.80643772698,3.01102467748372,11.2979877891006
Gaia DR2 3451198293275785088,87.9165732534523,0.973080538719327,32.6846307810932,0.857262597187718,1.00644327610419,0.922560021255861,1.090924,1.851124,0.4004974,1.450626,177.454264545174,3.04309483644407,11.2985579069522
Gaia DR2 3451219738045956992,88.1500056585778,0.142419702203296,32.7308226750601,0.121069512504656,0.502524233352207,0.153208232368118,3.280008,1.322594,0.322588,1.000006,177.514236329034,3.23578168635051,11.2987869417734
Gaia DR2 3451192628216843264,87.8530865048195,0.066079396503597,32.5484237731571,0.059007054875161,0.291653310622198,0.06509293724912,4.480567,1.038259,0.4322796,0.605979,177.544448482995,2.92776569670046,11.2994086736395
Gaia DR2 3451198293287680384,87.9185123603709,0.528305803605944,32.6863058941354,0.468197840576235,0.286431319612706,0.770315109158467,0.3718366,1.944279,0.9447994,0.9994793,177.453650982149,3.04535186475692,11.2995655901605
Gaia DR2 3451200874554351104,88.2997383094,0.047357662053614,32.5464800971415,0.0445059201274,0.215139139259323,0.058275535757559,3.691757,0.7092323,0.2678518,0.4413805,177.73739717192,3.25124281524484,11.3001704789112
Gaia DR2 3451175139110461312,88.0701154668664,0.033982593596076,32.3647159906707,0.031313991607605,0.66213111561193,0.032988396317397,20.07164,0.7771177,0.3052683,0.4718494,177.796068767953,2.99211363683946,11.3009774181121
